DATEPRD,WELL_BORE_CODE,BLOCK,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DP_TUBING,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND
2015-12-01,Well-C1,South Andaman,24.0,266.1679925,237.26891916666668,28.89907333333333,87.64986333333333,1.4842691666666668,174.05,26636.33,2940.46,,production
2015-12-02,Well-C1,South Andaman,24.0,266.37263041666665,237.30405708333333,29.068573333333333,86.33597354166666,1.4507014583333333,173.3,26322.85,2935.18,,production
2015-12-03,Well-C1,South Andaman,24.0,266.41727145833335,237.31610958333331,29.101161875,87.472243125,1.480116875,173.84,26509.26,2950.26,,production
2015-12-04,Well-C1,South Andaman,24.0,266.02650666666665,237.49720833333333,28.529298333333333,86.90002333333334,1.5717729166666667,170.82,27216.84,3045.06,,production
2015-12-05,Well-C1,South Andaman,24.0,266.45078083333334,237.816956875,28.63382395833333,86.12608625,1.5687691666666668,178.49,27523.12,3115.76,,production
2015-12-06,Well-C1,South Andaman,24.0,266.711086875,237.99196041666667,28.71912645833333,87.67445666666667,1.6747716666666668,175.99,27069.12,3180.42,,production
2015-12-07,Well-C1,South Andaman,24.0,267.1913083333333,238.27287854166667,28.918429791666668,87.45805104166666,1.690118125,177.61,27393.27,3227.37,,production
2015-12-08,Well-C1,South Andaman,24.0,267.69095416666664,238.57102208333333,29.11993208333333,86.41568375,1.6512170833333333,176.95,27260.83,3241.17,,production
2015-12-09,Well-C1,South Andaman,20.5,273.2334165608244,240.11406001409267,33.11935654673171,82.14660915597561,5.506540975790244,96.23,15003.33,2249.76,,production
2015-12-10,Well-C1,South Andaman,24.0,268.26538395833336,238.42687979166664,29.838504166666667,85.80317833333334,3.648727708333333,138.11,20790.18,2692.57,,production
2015-12-11,Well-C1,South Andaman,24.0,267.3457477083333,238.2265333333333,29.119214375,87.48341916666666,2.7908145833333333,163.14,24844.6,2997.32,,production
2015-12-12,Well-C1,South Andaman,24.0,266.48943979166665,238.0615870833333,28.427852708333333,88.53545854166667,2.081040625,181.72,27559.4,3185.18,,production
2015-12-13,Well-C1,South Andaman,24.0,266.334170625,238.01146729166663,28.322703333333333,88.43072166666667,2.03840125,178.83,27064.65,3119.97,,production
2015-12-14,Well-C1,South Andaman,24.0,266.19608229166664,238.012726875,28.183355416666668,87.93034625,1.9790014583333333,177.31,26908.07,3123.6,,production
2015-12-15,Well-C1,South Andaman,24.0,266.020944375,237.98928166666667,28.03166270833333,86.48707520833334,1.9257041666666668,176.31,26691.91,3221.92,,production
2015-12-16,Well-C1,South Andaman,24.0,265.910254375,237.95736875,27.952885625,85.80931333333334,1.885365,173.96,26495.54,3195.15,,production
2015-12-17,Well-C1,South Andaman,24.0,265.80284770833333,237.863591875,27.93925583333333,87.05611979166666,1.883038125,175.4,26554.73,3194.1,,production
